timestamp,symbol,action,reason,position_before_side,position_after_side,entry_price_before,entry_price_after,quantity_before,quantity_after,stop_price_before,stop_price_after,tp1_price_before,tp1_price_after,tp1_hit_before,tp1_hit_after,pnl_ratio_before,pnl_ratio_after,close,high,low,ema10,ema30,ema30_1h,ema_cross,macd_cross,macd_zone,macd_hist,bb_break,bb_width_expand,event_side,event_entry_price,event_target_margin,event_quantity,event_stop_price,event_tp1_price,event_ema_macd_signal_bars_ago,event_ema_bb_signal_bars_ago,event_exit_price,event_net_pnl,event_hold_bars,event_tp1_reduced,event_runner_active,event_current_pnl_ratio,event_rank
2025-10-06T11:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,123742.8,123999.67,123742.8,123900.04812395357,123799.56568690528,123411.59180114981,NONE,NONE,ABOVE_ZERO,1.1985763459068721,NONE,True,,,,,,,,,,,,,,,
2025-10-06T11:00:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4565.51,4573.93,4565.5,4564.931865723932,4552.9951082837,4532.063674336909,NONE,DEAD,ABOVE_ZERO,-0.4012749259124142,NONE,False,,,,,,,,,,,,,,,
2025-10-06T11:15:00,BTCUSDT,CANDIDATE,EMA_BB,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,124365.91,124400.0,123735.73,123984.75028323474,123836.1040296856,123411.59180114981,NONE,NONE,ABOVE_ZERO,27.234997142966222,UPPER,True,LONG,,,,121878.5918,134315.1828,,0.0,,,,,,,"(1.0, 0.0009304097737646083, 53.27141794002557, 0.0046824596708523545, -0.015000000000000003)"
2025-10-06T11:15:00,ETHUSDT,OPEN,EMA_BB,FLAT,LONG,,4595.20248,0.0,0.08459444,,4496.5536,,4955.3856,False,False,,-0.00149775,4588.32,4590.0,4565.0,4569.184253774126,4555.274133555719,4532.063674336909,NONE,GOLDEN,ABOVE_ZERO,0.7337177644209785,UPPER,True,LONG,4595.20248,97.18215083,0.08459444,4496.5536,4955.3856,,0.0,,,,,,,
2025-10-06T11:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,124299.96,124531.66,124083.83,124042.06114082842,123866.0302213188,123411.59180114981,NONE,NONE,ABOVE_ZERO,37.23216947758446,NONE,True,,,,,,,,,,,,,,,
2025-10-06T11:30:00,ETHUSDT,HOLD_POS,position_hold,LONG,LONG,4595.20248,4595.20248,0.08459444,0.08459444,4496.5536,4556.70096365,4955.3856,4955.3856,False,False,-0.00387632,-0.00387632,4577.39,4593.65,4571.28,4570.676207633375,4556.700963648899,4532.063674336909,NONE,NONE,ABOVE_ZERO,0.6252457942862222,NONE,True,,,,,,,,,,,,False,False,-0.00387632,
2025-10-06T11:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,124215.0,124422.93,124195.96,124073.5045697687,123888.54440058857,123411.59180114981,NONE,NONE,ABOVE_ZERO,35.35414987980242,NONE,True,,,,,,,,,,,,,,,
2025-10-06T11:45:00,ETHUSDT,HOLD_POS,position_hold,LONG,LONG,4595.20248,4595.20248,0.08459444,0.08459444,4556.70096365,4557.66928857,4955.3856,4955.3856,False,False,-0.00511239,-0.00511239,4571.71,4581.7,4569.54,4570.864169881852,4557.669288574776,4532.063674336909,NONE,NONE,ABOVE_ZERO,0.0766982182014484,NONE,True,,,,,,,,,,,,False,False,-0.00511239,
2025-10-06T12:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,124424.8,124529.39,124178.0,124137.37646617438,123923.14153603447,123463.42458817242,NONE,NONE,ABOVE_ZERO,44.86175425797863,NONE,True,,,,,,,,,,,,,,,
2025-10-06T12:00:00,ETHUSDT,HOLD_POS,position_hold,LONG,LONG,4595.20248,4595.20248,0.08459444,0.08459444,4557.66928857,4559.46933447,4955.3856,4955.3856,False,False,-0.0020962,-0.0020962,4585.57,4586.94,4570.25,4573.53795717606,4559.469334473178,4534.6215017990435,NONE,NONE,ABOVE_ZERO,0.5278978886033237,NONE,True,,,,,,,,,,,,False,False,-0.0020962,
